learner_id,career_goal,current_skill_level,prior_experience_months,completed_modules_count,avg_quiz_score,avg_coding_challenge_score,time_spent_hours_per_week,preferred_learning_pace,score_python,score_statistics,score_ml_algorithms,score_deep_learning,score_sql,score_data_visualization,dropout_risk,next_best_module
LRN00032,MLOps Engineer,Beginner,3.6,3.0,25.2,31.9,9.8,Moderate,54.0,74.1,48.6,4.8,69.8,14.9,1,Deep Learning Basics
LRN00033,Data Scientist,Beginner,2.6,1.0,40.3,42.3,6.1,Slow,43.7,74.5,42.6,47.0,43.7,55.7,1,Python Foundations
LRN00034,Data Scientist,Beginner,2.8,5.0,60.1,66.3,5.9,Slow,48.0,59.9,52.0,50.1,46.8,74.8,1,Python Foundations
LRN00035,Data Scientist,Advanced,58.0,22.0,69.1,67.3,16.1,Fast,99.1,82.2,63.0,69.4,48.4,100.0,0,ML Algorithms Intro
LRN00036,Data Analyst,Intermediate,7.8,6.0,56.1,64.1,15.9,Fast,81.0,65.4,58.9,36.9,57.1,74.0,0,SQL for Analysts
LRN00037,Data Analyst,Intermediate,19.8,18.0,55.7,55.7,15.7,Fast,64.3,53.4,54.3,47.0,36.3,31.8,1,Statistics for DS
LRN00038,Data Scientist,Beginner,4.0,2.0,37.0,42.5,6.7,Moderate,45.4,62.8,77.1,16.0,56.7,7.5,1,Python Foundations
LRN00039,Data Analyst,Beginner,0.3,3.0,44.8,55.8,1.6,Slow,28.3,28.6,0.0,0.1,55.2,56.0,1,Statistics for DS
LRN00040,ML Engineer,Intermediate,24.2,16.0,45.8,54.5,10.6,Moderate,79.9,70.5,73.5,62.2,63.3,81.0,1,ML Algorithms Intro
LRN00041,Data Scientist,Beginner,0.5,4.0,61.3,61.6,6.9,Moderate,71.2,79.0,42.7,41.0,49.7,48.8,1,ML Algorithms Intro
LRN00042,ML Engineer,Advanced,39.5,3.0,77.8,65.4,6.4,Slow,92.2,85.9,83.5,92.7,79.9,62.6,0,Advanced ML Projects
LRN00043,ML Engineer,Intermediate,7.5,15.0,100.0,84.3,15.8,Fast,60.1,42.3,65.7,55.4,59.8,73.2,0,Deep Learning Basics
LRN00044,Data Scientist,Intermediate,30.9,12.0,47.4,46.4,18.5,Fast,72.8,48.3,71.5,44.0,60.5,64.6,0,Statistics for DS
LRN00045,ML Engineer,Intermediate,7.6,10.0,88.8,80.3,10.9,Moderate,74.9,74.1,59.0,51.7,65.1,62.4,0,Deep Learning Basics
LRN00046,ML Engineer,Advanced,7.3,24.0,100.0,85.7,11.5,Moderate,87.0,60.0,58.9,97.9,85.1,60.1,0,Feature Engineering
LRN00047,Data Scientist,Intermediate,19.2,4.0,58.8,66.4,7.6,Moderate,85.4,81.8,62.0,58.2,68.1,55.5,0,ML Algorithms Intro
LRN00048,Data Scientist,Intermediate,14.3,13.0,59.1,52.3,5.2,Slow,77.8,77.8,73.9,25.1,100.0,80.5,1,Deep Learning Basics
LRN00049,ML Engineer,Advanced,10.4,11.0,66.2,59.1,9.2,Moderate,98.8,92.6,96.2,61.3,97.8,75.4,0,Deep Learning Basics
LRN00050,Data Analyst,Beginner,3.8,3.0,31.4,41.1,4.3,Moderate,52.1,38.9,25.7,0.0,36.7,57.3,1,SQL for Analysts
LRN00051,Data Analyst,Advanced,0.2,27.0,80.0,76.3,14.1,Moderate,90.9,65.2,58.8,73.5,87.4,72.1,0,Statistics for DS
LRN00052,Data Analyst,Beginner,1.4,4.0,45.3,38.1,15.8,Moderate,48.2,37.6,21.3,5.6,47.5,50.7,1,SQL for Analysts
LRN00053,ML Engineer,Intermediate,12.8,8.0,41.0,38.9,18.8,Fast,50.5,60.0,100.0,56.2,75.8,64.5,1,Python Foundations
LRN00054,ML Engineer,Intermediate,25.2,19.0,99.4,86.4,6.4,Slow,68.3,90.5,90.5,55.2,54.8,46.9,0,Deep Learning Basics
LRN00055,ML Engineer,Intermediate,29.7,17.0,61.1,66.9,5.8,Slow,64.6,65.4,31.9,73.6,71.7,42.6,1,ML Algorithms Intro
LRN00056,ML Engineer,Intermediate,27.9,10.0,66.0,72.7,3.0,Slow,59.1,69.7,73.8,74.6,33.1,44.7,1,Python Foundations
LRN00057,Data Scientist,Intermediate,16.6,7.0,60.1,55.1,3.7,Slow,65.3,70.5,83.3,42.9,43.4,53.9,1,SQL for Analysts
LRN00058,ML Engineer,Beginner,0.0,1.0,41.0,45.9,11.9,Moderate,71.6,26.5,51.6,58.9,79.7,11.8,1,Statistics for DS
LRN00059,Data Analyst,Beginner,3.6,3.0,39.6,42.0,13.1,Fast,28.5,40.9,9.5,0.0,65.7,62.0,1,Python Foundations
LRN00060,Data Analyst,Beginner,5.2,2.0,45.0,52.3,12.8,Fast,56.0,63.2,18.9,8.3,61.9,43.5,1,SQL for Analysts
LRN00061,ML Engineer,Intermediate,29.1,18.0,64.8,70.2,7.8,Moderate,58.2,62.5,71.8,58.8,58.6,55.4,0,Deep Learning Basics
LRN00062,Data Scientist,Intermediate,10.4,9.0,77.1,77.6,11.0,Moderate,69.5,62.9,53.7,57.2,61.7,23.1,1,Statistics for DS
LRN00063,ML Engineer,Beginner,1.2,2.0,48.4,51.7,1.4,Slow,70.3,60.0,60.7,24.0,38.1,52.3,1,Deep Learning Basics
LRN00064,ML Engineer,Advanced,31.0,27.0,90.6,77.6,8.3,Moderate,65.3,91.7,89.2,80.6,58.4,92.6,0,SQL for Analysts
LRN00065,ML Engineer,Beginner,5.9,2.0,44.9,49.5,8.7,Moderate,63.1,64.1,42.8,47.0,28.7,44.7,1,ML Algorithms Intro
LRN00066,ML Engineer,Intermediate,5.2,12.0,68.5,72.2,13.0,Fast,82.0,73.1,89.0,59.6,53.5,51.8,0,Deep Learning Basics
LRN00067,ML Engineer,Intermediate,7.7,17.0,61.4,59.2,1.7,Moderate,69.6,76.5,56.5,79.9,73.9,66.4,1,ML Algorithms Intro
LRN00068,Data Scientist,Beginner,4.4,3.0,60.0,51.8,0.9,Slow,52.6,65.7,37.2,36.9,53.9,64.5,1,ML Algorithms Intro
LRN00069,Data Analyst,Intermediate,14.1,13.0,69.8,65.2,9.8,Moderate,85.7,42.1,44.3,41.4,77.9,69.9,1,Statistics for DS
LRN00070,Data Scientist,Intermediate,7.4,13.0,62.6,60.6,5.5,Slow,66.0,50.9,58.9,63.1,66.9,63.4,1,Statistics for DS
LRN00071,Data Analyst,Beginner,5.3,1.0,42.2,39.3,17.5,Fast,30.4,33.9,9.6,12.7,65.9,53.4,1,Statistics for DS
LRN00072,Data Scientist,Advanced,51.7,29.0,78.4,73.9,5.8,Slow,73.7,52.8,49.4,75.2,59.7,86.8,0,ML Algorithms Intro
LRN00073,MLOps Engineer,Advanced,34.0,27.0,80.5,76.6,2.1,Slow,67.4,89.5,78.6,71.0,76.6,53.4,0,Python Foundations
LRN00074,Data Analyst,Intermediate,7.7,16.0,64.2,71.3,1.5,Slow,74.8,73.0,59.4,27.6,80.4,77.2,1,Statistics for DS
LRN00075,Data Analyst,Advanced,75.73749999999998,31.0,71.6,62.1,17.1,Fast,90.5,78.6,58.9,67.9,79.1,76.1,0,Statistics for DS
LRN00076,Data Scientist,Advanced,10.4,23.0,60.1,85.3,9.2,Moderate,90.2,48.7,100.0,78.2,78.1,74.8,0,Statistics for DS
LRN00077,Data Scientist,Beginner,5.1,4.0,57.4,62.5,11.7,Moderate,50.8,69.8,64.9,39.9,32.7,46.0,1,Python Foundations
LRN00078,ML Engineer,Intermediate,26.0,11.0,91.8,84.6,10.1,Moderate,65.8,50.9,79.6,75.9,75.1,56.8,0,Statistics for DS
LRN00079,ML Engineer,Intermediate,13.3,13.0,55.9,52.6,7.9,Slow,65.3,86.4,51.4,85.1,70.5,67.5,1,ML Algorithms Intro
LRN00080,ML Engineer,Beginner,2.2,3.0,55.0,51.7,14.6,Fast,57.5,21.3,67.7,46.9,31.2,27.0,1,Statistics for DS
LRN00081,ML Engineer,Beginner,5.2,4.0,16.4,29.9,7.2,Slow,65.3,29.8,41.5,40.9,15.2,60.7,1,ML Algorithms Intro
LRN00082,Data Scientist,Beginner,5.2,3.0,57.4,58.6,10.1,Slow,42.5,19.6,26.1,40.4,34.7,44.5,1,Statistics for DS
LRN00083,ML Engineer,Intermediate,1.1,20.0,43.2,45.7,9.2,Moderate,69.3,67.2,69.1,62.4,57.6,63.5,0,Deep Learning Basics
LRN00084,Data Analyst,Intermediate,22.9,22.0,50.2,59.0,5.5,Moderate,57.8,60.4,35.4,47.0,75.0,70.9,1,Statistics for DS
LRN00085,Data Analyst,Intermediate,16.9,16.0,70.0,65.2,1.2,Slow,48.3,49.4,52.2,58.8,79.5,65.4,1,Statistics for DS
LRN00086,Data Analyst,Beginner,1.5,5.0,35.7,34.5,18.7,Fast,54.5,27.5,21.0,0.0,45.7,75.6,1,Statistics for DS
LRN00087,ML Engineer,Beginner,10.4,1.0,33.6,40.5,12.4,Moderate,44.6,52.6,62.6,65.3,30.0,27.6,1,Python Foundations
LRN00088,Data Scientist,Intermediate,5.9,5.0,57.7,60.6,2.5,Slow,68.1,72.6,60.1,78.4,40.7,45.6,1,SQL for Analysts
LRN00089,Data Analyst,Intermediate,13.8,10.0,75.9,72.7,10.8,Moderate,71.5,77.5,34.2,33.6,80.1,44.5,0,Statistics for DS
LRN00090,Data Scientist,Advanced,25.2,25.0,66.0,65.7,9.8,Moderate,96.5,65.9,63.2,79.4,82.7,53.4,0,ML Algorithms Intro
LRN00091,Data Analyst,Advanced,31.5,23.0,79.2,80.2,5.2,Slow,96.7,77.1,81.6,57.1,92.3,96.8,1,Advanced ML Projects
LRN00092,ML Engineer,Advanced,40.5,9.0,74.3,60.3,6.4,Slow,81.7,65.9,84.1,71.8,72.2,72.0,0,Deep Learning Basics
LRN00093,Data Scientist,Advanced,20.7,37.0,92.3,80.7,10.6,Moderate,85.9,83.4,71.8,84.2,83.6,70.8,0,ML Algorithms Intro
LRN00094,Data Scientist,Advanced,75.0,47.0,92.7,89.8,8.6,Moderate,81.4,66.8,70.4,82.0,58.7,76.9,0,Statistics for DS
LRN00095,Data Scientist,Intermediate,22.4,18.0,37.5,35.4,18.5,Fast,61.4,69.8,72.7,46.9,56.1,57.9,0,Python Foundations
LRN00096,ML Engineer,Beginner,5.7,4.0,60.7,60.2,12.3,Moderate,33.0,52.0,64.9,55.5,61.0,53.4,1,Python Foundations
LRN00097,Data Scientist,Beginner,2.8,3.0,35.8,48.6,2.3,Slow,46.8,60.3,35.1,47.7,35.9,41.6,1,Python Foundations
LRN00098,Data Analyst,Beginner,2.2,2.0,48.5,57.4,9.0,Moderate,26.8,38.5,24.0,23.9,47.0,54.7,1,SQL for Analysts
LRN00099,Data Analyst,Beginner,5.6,3.0,30.9,42.6,3.7,Moderate,59.7,56.3,39.6,0.0,69.6,46.4,1,Statistics for DS
LRN00100,MLOps Engineer,Beginner,2.1,6.0,50.6,56.5,5.8,Slow,48.1,35.3,31.6,39.4,41.9,53.4,1,Python Foundations
LRN00101,MLOps Engineer,Advanced,38.3,21.0,100.0,83.3,12.7,Moderate,76.6,80.9,83.1,47.0,94.6,51.5,0,Python Foundations
LRN00102,ML Engineer,Beginner,4.1,2.0,46.9,60.3,3.2,Slow,69.0,37.3,59.9,41.7,47.4,63.3,1,Statistics for DS
LRN00103,Data Scientist,Advanced,16.0,36.0,60.1,63.8,16.4,Fast,85.9,71.5,70.1,92.0,76.7,80.8,0,ML Algorithms Intro
LRN00104,MLOps Engineer,Intermediate,10.4,18.0,61.5,55.9,15.3,Fast,86.6,80.5,74.2,41.1,83.5,60.2,0,Deep Learning Basics
LRN00105,ML Engineer,Intermediate,23.3,8.0,43.0,49.8,7.8,Moderate,60.9,63.8,66.0,52.3,43.6,55.3,1,Deep Learning Basics
LRN00106,ML Engineer,Intermediate,29.4,11.0,86.7,76.5,16.7,Moderate,70.3,68.4,68.4,51.5,74.1,59.8,0,Deep Learning Basics
LRN00107,Data Scientist,Beginner,4.3,2.0,49.7,53.7,13.6,Fast,48.4,48.2,29.9,52.0,22.8,16.6,1,ML Algorithms Intro
LRN00108,Data Scientist,Intermediate,29.7,12.0,49.3,54.4,3.3,Slow,69.1,89.5,71.4,64.4,67.8,38.0,1,Statistics for DS
LRN00109,Data Analyst,Beginner,2.8,4.0,29.8,46.9,6.3,Moderate,49.3,63.7,53.4,47.0,56.1,34.6,1,Statistics for DS
LRN00110,MLOps Engineer,Advanced,23.9,17.0,80.2,76.1,10.8,Moderate,61.5,68.3,100.0,89.2,70.5,77.1,0,Python Foundations
LRN00111,Data Scientist,Beginner,10.4,4.0,59.0,56.5,4.7,Slow,62.4,48.2,50.6,60.4,61.9,68.8,1,ML Algorithms Intro
LRN00112,Data Analyst,Beginner,0.7,3.0,27.7,40.4,7.7,Moderate,53.4,45.9,7.3,11.8,51.0,49.9,1,SQL for Analysts
LRN00113,Data Scientist,Intermediate,5.2,23.0,81.7,60.3,9.1,Moderate,73.5,71.1,74.1,45.6,62.3,41.1,0,Statistics for DS
LRN00114,ML Engineer,Intermediate,23.1,14.0,63.6,66.6,15.3,Fast,59.0,54.3,56.2,67.7,83.2,60.7,0,ML Algorithms Intro
LRN00115,Data Analyst,Intermediate,32.6,12.0,51.0,54.0,12.4,Moderate,67.3,74.2,60.3,12.6,61.9,60.2,1,SQL for Analysts
LRN00116,MLOps Engineer,Intermediate,19.7,15.0,58.0,60.4,14.7,Fast,69.9,71.8,55.8,47.4,75.1,45.9,0,ML Algorithms Intro
LRN00117,ML Engineer,Beginner,4.5,3.0,71.2,59.8,10.9,Moderate,55.5,20.0,31.2,73.7,59.0,39.0,1,ML Algorithms Intro
LRN00118,ML Engineer,Intermediate,0.0,3.0,44.2,38.8,1.9,Slow,72.0,60.0,70.6,53.3,72.6,67.6,1,Statistics for DS
LRN00119,Data Scientist,Beginner,2.3,3.0,60.1,35.0,18.4,Fast,71.1,42.5,57.9,35.8,39.1,53.4,1,Statistics for DS
LRN00120,ML Engineer,Beginner,0.2,3.0,59.3,67.4,7.1,Slow,46.9,34.6,46.7,45.2,37.6,17.6,1,ML Algorithms Intro
LRN00121,ML Engineer,Beginner,4.2,1.0,48.2,46.6,7.3,Slow,45.4,74.3,54.8,38.8,56.2,42.4,1,Python Foundations
LRN00122,ML Engineer,Beginner,0.7,3.0,33.1,44.5,13.4,Moderate,59.1,48.7,58.9,51.0,34.3,45.6,1,ML Algorithms Intro
LRN00123,Data Analyst,Beginner,1.1,1.0,59.5,56.8,9.9,Moderate,50.5,54.6,34.5,45.2,42.3,66.9,1,SQL for Analysts
LRN00124,Data Scientist,Intermediate,22.6,10.0,80.2,73.1,12.7,Moderate,91.5,66.2,80.3,55.5,40.3,71.3,0,SQL for Analysts
LRN00125,Data Analyst,Beginner,4.6,3.0,50.0,52.8,8.9,Slow,56.9,35.6,12.0,27.0,76.1,53.4,1,Statistics for DS
LRN00126,Data Scientist,Beginner,10.4,3.0,35.8,50.5,5.6,Moderate,63.1,32.5,43.8,56.0,12.5,50.3,1,SQL for Analysts
LRN00127,Data Scientist,Intermediate,23.1,10.0,58.1,60.3,2.2,Slow,89.8,60.0,83.5,45.0,69.7,59.5,1,Deep Learning Basics
LRN00128,Data Analyst,Beginner,3.8,3.0,49.3,54.2,0.5,Moderate,29.4,51.4,23.9,0.0,51.7,33.7,1,Statistics for DS
LRN00129,Data Analyst,Intermediate,16.1,8.0,45.3,55.5,12.2,Moderate,53.7,82.7,55.8,59.6,81.4,51.1,1,Statistics for DS
LRN00130,ML Engineer,Advanced,19.0,25.0,99.9,85.1,0.5,Slow,77.0,82.7,82.5,84.8,61.5,67.0,0,SQL for Analysts
LRN00131,Data Analyst,Intermediate,23.1,12.0,60.1,86.2,3.7,Moderate,63.7,63.0,53.9,47.0,95.1,67.2,1,Statistics for DS
LRN00132,MLOps Engineer,Advanced,54.9,16.0,76.5,75.6,5.7,Moderate,66.4,75.5,80.6,67.1,71.2,71.3,0,Python Foundations
LRN00133,ML Engineer,Beginner,4.3,3.0,50.3,57.2,3.8,Moderate,63.9,54.8,58.6,54.0,72.8,32.7,1,ML Algorithms Intro
LRN00134,Data Scientist,Beginner,3.5,3.0,62.8,61.3,9.8,Moderate,50.2,33.4,33.6,0.1,50.8,74.2,1,Statistics for DS
LRN00135,ML Engineer,Intermediate,7.5,11.0,94.3,82.0,5.7,Moderate,52.2,68.0,74.9,54.0,78.5,36.7,0,Python Foundations
LRN00136,Data Analyst,Intermediate,24.2,24.0,88.4,76.0,0.5,Slow,47.2,63.1,51.1,21.2,58.5,85.8,0,SQL for Analysts
LRN00137,MLOps Engineer,Advanced,42.0,24.0,54.0,52.2,15.9,Fast,96.3,62.9,89.6,47.0,84.0,64.5,0,Deep Learning Basics
LRN00138,Data Scientist,Beginner,2.3,3.0,40.3,42.1,4.1,Slow,71.4,21.9,53.1,21.8,47.4,32.8,1,Statistics for DS
LRN00139,ML Engineer,Intermediate,15.3,10.0,72.5,70.4,0.5,Slow,99.1,57.6,63.4,34.2,68.0,33.6,1,Deep Learning Basics
LRN00140,Data Analyst,Beginner,10.4,2.0,37.6,43.3,6.9,Moderate,94.7,55.5,0.0,0.0,56.7,59.1,1,SQL for Analysts
LRN00141,Data Scientist,Beginner,4.3,4.0,71.7,70.1,3.8,Slow,60.0,73.0,48.5,44.5,69.0,16.6,1,Statistics for DS
LRN00142,Data Scientist,Beginner,0.9,2.0,69.4,68.8,2.9,Slow,59.3,58.4,47.7,34.8,40.8,53.7,1,ML Algorithms Intro
LRN00143,MLOps Engineer,Advanced,21.1,19.0,67.8,60.7,3.0,Slow,59.5,92.1,72.8,53.1,69.8,94.7,0,Python Foundations
LRN00144,ML Engineer,Beginner,2.5,2.0,42.6,42.9,30.25,Moderate,60.5,46.0,66.6,37.3,38.0,4.6,1,Deep Learning Basics
LRN00145,Data Scientist,Advanced,75.73749999999998,15.0,68.8,65.1,15.4,Moderate,74.5,98.9,62.8,65.9,79.1,90.0,1,ML Algorithms Intro
LRN00146,Data Scientist,Intermediate,27.5,4.0,62.1,58.0,8.1,Moderate,69.4,64.6,79.4,53.9,63.9,60.1,1,Python Foundations
LRN00147,Data Scientist,Intermediate,3.2,10.0,61.6,57.2,12.0,Fast,69.3,58.7,58.9,36.6,52.6,30.4,1,Statistics for DS
LRN00148,Data Scientist,Intermediate,30.2,16.0,79.3,81.1,8.3,Moderate,70.2,54.2,36.6,47.0,64.6,39.6,0,ML Algorithms Intro
LRN00149,Data Scientist,Advanced,70.3,27.0,66.7,57.8,16.6,Fast,100.0,57.7,87.8,71.0,66.7,74.9,0,Statistics for DS
LRN00150,Data Analyst,Beginner,1.2,5.0,5.7,31.1,8.8,Moderate,47.4,63.8,17.5,71.3,61.5,49.3,1,Statistics for DS
LRN00151,ML Engineer,Beginner,0.0,4.0,60.1,33.9,17.8,Fast,55.4,36.4,44.3,37.8,61.9,9.4,1,ML Algorithms Intro
LRN00152,MLOps Engineer,Intermediate,17.4,15.0,49.6,57.2,15.6,Moderate,65.3,48.2,57.2,49.2,71.5,47.5,0,Python Foundations
LRN00153,Data Analyst,Beginner,4.7,5.0,35.2,46.5,3.9,Moderate,22.6,23.0,24.1,23.0,54.1,60.4,1,Statistics for DS
LRN00154,ML Engineer,Beginner,5.4,3.0,47.8,54.2,7.5,Moderate,49.5,44.0,47.5,27.7,64.2,47.1,1,Deep Learning Basics
LRN00155,Data Analyst,Beginner,1.7,3.0,28.8,45.6,13.6,Moderate,40.2,71.5,0.0,0.0,50.1,40.2,1,Statistics for DS
LRN00156,ML Engineer,Beginner,5.6,3.0,26.8,31.9,2.4,Slow,73.3,74.7,70.7,23.9,62.5,46.3,1,Deep Learning Basics
LRN00157,Data Scientist,Beginner,0.0,5.0,31.1,39.1,11.4,Moderate,70.9,28.4,44.0,42.9,79.2,55.8,1,Statistics for DS
LRN00158,ML Engineer,Beginner,2.4,3.0,28.3,34.0,5.9,Slow,66.5,48.3,39.3,42.8,39.6,43.1,1,ML Algorithms Intro
LRN00159,ML Engineer,Advanced,33.2,19.0,71.7,60.6,7.7,Slow,73.0,65.0,71.1,77.7,91.8,78.9,0,Feature Engineering
LRN00160,ML Engineer,Beginner,4.7,4.0,36.0,40.2,21.7,Fast,38.3,64.8,61.8,59.5,39.0,35.6,1,Python Foundations
LRN00161,Data Analyst,Advanced,69.3,17.0,90.3,89.6,10.0,Moderate,70.7,80.3,64.3,57.6,94.5,82.0,0,Python Foundations
LRN00162,MLOps Engineer,Advanced,62.0,30.0,65.2,62.9,9.2,Moderate,80.3,75.4,76.9,57.2,60.4,81.6,0,Deep Learning Basics
LRN00163,Data Analyst,Beginner,1.0,3.0,39.6,54.6,6.9,Moderate,76.6,51.9,19.0,0.0,63.1,38.4,1,Statistics for DS
LRN00164,Data Analyst,Intermediate,25.8,11.0,56.8,67.1,15.6,Moderate,58.5,57.1,47.1,40.5,82.6,76.2,0,Statistics for DS
LRN00165,ML Engineer,Intermediate,22.6,15.0,77.1,85.4,11.8,Fast,79.3,91.9,54.0,67.4,74.6,34.3,0,ML Algorithms Intro
LRN00166,Data Scientist,Intermediate,3.0,5.0,62.7,70.5,10.5,Moderate,63.4,75.9,56.9,52.1,57.2,52.8,0,Python Foundations
LRN00167,ML Engineer,Beginner,0.0,3.0,60.8,71.2,1.5,Moderate,62.8,49.6,45.6,17.9,35.6,27.5,1,Deep Learning Basics
LRN00168,ML Engineer,Beginner,4.6,2.0,27.7,38.9,30.25,Moderate,57.5,6.0,44.7,49.2,44.7,47.3,1,Statistics for DS
LRN00169,Data Scientist,Beginner,2.7,48.5,44.3,50.0,11.7,Moderate,49.5,53.8,38.8,1.3,31.9,50.4,1,Deep Learning Basics
LRN00170,MLOps Engineer,Intermediate,6.4,13.0,56.4,58.8,9.1,Moderate,66.1,88.4,73.1,46.4,54.9,72.5,1,Python Foundations
LRN00171,Data Scientist,Advanced,37.6,19.0,61.6,61.1,14.9,Fast,83.7,92.6,84.6,47.0,73.3,78.6,1,ML Algorithms Intro
LRN00172,Data Scientist,Intermediate,21.3,5.0,60.1,63.5,6.6,Moderate,81.3,44.1,42.3,47.2,62.7,51.4,0,ML Algorithms Intro
LRN00173,Data Scientist,Intermediate,17.3,18.0,91.0,85.1,3.0,Moderate,71.9,64.3,70.7,47.0,61.5,51.2,0,Deep Learning Basics
LRN00174,MLOps Engineer,Advanced,9.4,21.0,67.2,62.9,11.1,Moderate,71.7,60.5,68.9,65.0,86.5,68.1,0,Python Foundations
LRN00175,Data Analyst,Intermediate,75.73749999999998,8.0,63.1,56.0,8.2,Moderate,53.5,96.6,44.8,1.4,80.1,81.6,1,Python Foundations
LRN00176,Data Analyst,Beginner,4.5,3.0,25.3,37.3,11.4,Fast,37.6,49.3,28.0,0.0,46.0,43.3,1,SQL for Analysts
